Category,Area,Ratio,Size_COCO,Center_X,Center_Y
dog,87530.4041,1.1781560700003668,Large (>96²),0.5306884765625,0.7814123159303883
dog,88159.83390000001,1.1429445864688725,Large (>96²),0.5207861328125,0.7819745649263722
dog,88738.81199999999,1.939872825883673,Large (>96²),0.43775390625,0.49615384615384617
dog,85071.4004,0.5958291430688615,Large (>96²),0.335107421875,0.3379785330948122
dog,174150.96360000002,0.8966440516439382,Large (>96²),0.711923828125,0.3942128801431127
dog,53053.8818,2.1848167875248667,Large (>96²),0.526171875,0.5110286225402505
dog,161163.661,0.7711692004812426,Large (>96²),0.65763671875,0.3459716796875
dog,166916.7682,2.2384736514446844,Large (>96²),0.55376953125,0.5014404296875
dog,52200.349500000004,1.8475221607472188,Large (>96²),0.45854980468749995,0.49270019531250003
dog,326283.2253,0.5734796961380901,Large (>96²),0.7887841796874999,0.3683056640625
dog,17734.693,1.207707542498762,Large (>96²),0.5655908203125,0.46981699346405226
dog,17099.9107,0.6729188884009786,Large (>96²),0.4361669921875,0.4566078431372549
dog,175964.888,0.8693487441653701,Large (>96²),0.484921875,0.5424183006535948
dog,22426.141499999998,0.8168869575713682,Large (>96²),0.3421044921875,0.49000653594771243
dog,11076.7404,0.4377042997234095,Large (>96²),0.4636865234375,0.49090196078431375
dog,16432.7,1.030970297029703,Large (>96²),0.5682812500000001,0.5217320261437909
dog,258886.3033,1.4238174526863816,Large (>96²),0.5717236328124999,0.5474444444444445
dog,17677.430699999997,0.8291897815218136,Large (>96²),0.5834619140624999,0.6078366013071895
dog,10217.06,0.577593984962406,Large (>96²),0.518955078125,0.7444444444444445
dog,58489.56,1.9164281625643962,Large (>96²),0.521875,0.6622875816993464
dog,88566.59700000001,1.1068688796973876,Large (>96²),0.612841796875,0.48683006535947715
dog,64076.595,3.1203768318213534,Large (>96²),0.6763427734375,0.5311764705882354
dog,22326.3525,0.42186481199739184,Large (>96²),0.37937011718749997,0.7033006535947712
dog,29662.8926,0.43497740675499735,Large (>96²),0.4372998046875,0.6358562091503268
dog,39327.587600000006,0.47279914011303353,Large (>96²),0.5066601562499999,0.7657320261437908
dog,7890.351299999999,0.6477303615112802,Medium,0.3459521484375,0.640281045751634
dog,57163.1682,0.41741879695184564,Large (>96²),0.4230810546875,0.6156470588235294
dog,48894.7954,0.73041394503923,Large (>96²),0.616689453125,0.514202614379085
dog,13817.865600000001,0.5157624633431085,Large (>96²),0.42655273437499996,0.4760261437908496
dog,94733.0982,0.7139680448031626,Large (>96²),0.44819824218750004,0.34526797385620916
dog,7152.1639,0.6856947028297269,Medium,0.1806591796875,0.4497581699346405
dog,37047.2361,0.7566773624983052,Large (>96²),0.6296044921875,0.585156862745098
dog,10886.9018,0.5087155649736824,Large (>96²),0.382041015625,0.13613725490196077
dog,26506.962000000003,0.4920080996079445,Large (>96²),0.42373046875000003,0.5059542483660131
dog,7020.869,0.5542425588627277,Medium,0.5252050781250001,0.4552614379084967
dog,21764.4411,0.6138934622125445,Large (>96²),0.5519677734375,0.5243725490196078
dog,27559.744,1.4282629040385861,Large (>96²),0.3625,0.4411176470588235
dog,20078.760000000002,1.2120270375262217,Large (>96²),0.2744140625,0.4099803921568627
dog,36255.5039,0.6644548139903249,Large (>96²),0.47499511718750004,0.3539803921568628
dog,25258.5042,0.7251781599957134,Large (>96²),0.591474609375,0.46838562091503266
dog,18479.2899,0.596500198852338,Large (>96²),0.7133837890625,0.4457581699346405
dog,2192.9375,3.0103742126713597,Medium,0.10663705583756346,0.5015984654731458
dog,3898.1844,1.4522292993630572,Medium,0.29855297157622734,0.4202941176470588
dog,1899.06,0.5060398302317989,Medium,0.4433846153846154,0.5728172588832487
dog,1833.7279999999998,0.5039787798408488,Medium,0.44591836734693874,0.5743734015345268
dog,6637.2735,0.42882404951370473,Medium,0.32604901960784316,0.3940391459074733
dog,10050.2136,1.0449678800856532,Large (>96²),0.66576171875,0.4999113475177305
dog,8998.0048,2.2990728900255757,Medium,0.740046875,0.7795000000000001
dog,12630.138299999999,2.4712547209399918,Large (>96²),0.7239531250000001,0.8138541666666668
dog,8245.875,2.2928130732032685,Medium,0.78515625,0.5382708333333334
dog,7998.9156,1.3657389259114072,Medium,0.8335625,0.7572708333333333
dog,2259.6731,2.066223162987602,Medium,0.10679687499999999,0.3825208333333333
dog,16547.4444,2.264124459001053,Large (>96²),0.43975,0.5233125
dog,24116.2362,0.5446725596426195,Large (>96²),0.41476562499999997,0.5616249999999999
dog,4907.6939999999995,0.9972915181753383,Medium,0.64459375,0.7306041666666668
dog,2033.0464000000002,1.9176904176904175,Medium,0.130125,0.5589166666666666
dog,30812.600000000002,0.6361034122404471,Large (>96²),0.33334375,0.5223958333333333
dog,3728.572,1.2739371534195933,Medium,0.66646875,0.593875
dog,19067.7032,0.48898566870917104,Large (>96²),0.62090625,0.5832291666666667
dog,15363.3375,0.4550204081632653,Large (>96²),0.565546875,0.6172291666666666
dog,18338.782799999997,0.549225633448257,Large (>96²),0.48234374999999996,0.5880624999999999
dog,1220.3028,1.5778496943545488,Medium,0.257375,0.48202083333333334
dog,2804.4864,1.5139405204460965,Medium,0.7263125,0.5665833333333333
dog,2969.1711999999998,1.657844990548204,Medium,0.7158749999999999,0.562125
