new_name,original_name,dataset,split,has_label
img_000001.jpg,Copy-of-IMG20241118141203_jpg.rf.e0861a2ac7ff10878467ee8ba356ed31.jpg,Roboflow_dataset10-yolo26,train,True
img_000002.jpg,Copy-of-IMG20241118141222_jpg.rf.29bf4a85ddbbe9a6d4dc0125f164258c.jpg,Roboflow_dataset10-yolo26,train,True
img_000003.jpg,Copy-of-IMG20241118141242_jpg.rf.b0694a44c1f0615949b0cb20a0b5b60e.jpg,Roboflow_dataset10-yolo26,train,True
img_000004.jpg,Copy-of-IMG20241118141249_jpg.rf.daad19a7d6323b6b3f8bd01f2f041a43.jpg,Roboflow_dataset10-yolo26,train,True
img_000005.jpg,Copy-of-IMG20241118141426_jpg.rf.bb8e747f281d46475d8e8d66f2ba9914.jpg,Roboflow_dataset10-yolo26,train,True
img_000006.jpg,Copy-of-IMG20241118141431_jpg.rf.b6517d1477a6bc45b361020df8ec65ec.jpg,Roboflow_dataset10-yolo26,train,True
img_000007.jpg,Copy-of-IMG20241118141438_jpg.rf.b6ab79885c7164c41910ae5b116db894.jpg,Roboflow_dataset10-yolo26,train,True
img_000008.jpg,Copy-of-IMG20241118141624_jpg.rf.e402a9f06dacd96519de740cfe6fd8fb.jpg,Roboflow_dataset10-yolo26,train,True
img_000009.jpg,Copy-of-IMG20241118141632_jpg.rf.862b9f298a86889e1602e98b0366ece7.jpg,Roboflow_dataset10-yolo26,train,True
img_000010.jpg,Copy-of-IMG20241118141642_jpg.rf.6ac4b52435c5cd5fce4f712bd8c2e848.jpg,Roboflow_dataset10-yolo26,train,True
img_000011.jpg,Copy-of-IMG20241118141731_jpg.rf.1cdb2662c35d031da92eabc478b172be.jpg,Roboflow_dataset10-yolo26,train,True
img_000012.jpg,Copy-of-IMG20241118141743_jpg.rf.33a98b658828321b4fc04eddce4fe0de.jpg,Roboflow_dataset10-yolo26,train,True
img_000013.jpg,Copy-of-IMG20241118141831_jpg.rf.7e52e3a469bb4ef1b68f654b8f63e7e2.jpg,Roboflow_dataset10-yolo26,train,True
img_000014.jpg,Copy-of-IMG20241118141848_jpg.rf.576f8e174c54552e0a86daf7b6dbef7c.jpg,Roboflow_dataset10-yolo26,train,True
img_000015.jpg,Copy-of-IMG20241118141857_jpg.rf.7170a713f1a41500d7ab7a300187e8b9.jpg,Roboflow_dataset10-yolo26,train,True
img_000016.jpg,Copy-of-IMG20241118141918_jpg.rf.b769ea09676c24acc663a612d3d54199.jpg,Roboflow_dataset10-yolo26,train,True
img_000017.jpg,Copy-of-IMG20241118142029_jpg.rf.e149d95e09fcd8096cb00dce617ded36.jpg,Roboflow_dataset10-yolo26,train,True
img_000018.jpg,Copy-of-IMG_7804-1-_jpg.rf.a098b19fe12c2193e6d3648ed57ad1e0.jpg,Roboflow_dataset10-yolo26,train,True
