new_name,source_image,transform_type,target_classes,num_bboxes
aug_000001.jpg,img_000262.jpg,mild,dog,3
aug_000002.jpg,img_000262.jpg,aggressive,dog,3
aug_000003.jpg,img_000262.jpg,aggressive,dog,3
aug_000004.jpg,img_000265.jpg,mild,dog,1
aug_000005.jpg,img_000265.jpg,aggressive,dog,1
aug_000006.jpg,img_000265.jpg,aggressive,dog,1
aug_000007.jpg,img_000276.jpg,mild,dog,2
aug_000008.jpg,img_000276.jpg,aggressive,dog,2
aug_000009.jpg,img_000276.jpg,aggressive,dog,2
aug_000010.jpg,img_000277.jpg,mild,dog,1
aug_000011.jpg,img_000277.jpg,aggressive,dog,1
aug_000012.jpg,img_000277.jpg,aggressive,dog,1
aug_000013.jpg,img_000288.jpg,mild,dog,2
aug_000014.jpg,img_000288.jpg,aggressive,dog,2
aug_000015.jpg,img_000288.jpg,aggressive,dog,2
aug_000016.jpg,img_000298.jpg,mild,dog,3
aug_000017.jpg,img_000298.jpg,aggressive,dog,3
aug_000018.jpg,img_000298.jpg,aggressive,dog,3
aug_000019.jpg,img_000308.jpg,mild,dog,3
aug_000020.jpg,img_000308.jpg,aggressive,dog,3
aug_000021.jpg,img_000308.jpg,aggressive,dog,3
aug_000022.jpg,img_000319.jpg,mild,dog,1
aug_000023.jpg,img_000319.jpg,aggressive,dog,1
aug_000024.jpg,img_000319.jpg,aggressive,dog,1
aug_000025.jpg,img_000328.jpg,mild,dog,2
aug_000026.jpg,img_000328.jpg,aggressive,dog,2
aug_000027.jpg,img_000328.jpg,aggressive,dog,2
aug_000028.jpg,img_000333.jpg,mild,dog,6
aug_000029.jpg,img_000333.jpg,aggressive,dog,6
aug_000030.jpg,img_000333.jpg,aggressive,dog,6
aug_000031.jpg,img_000350.jpg,mild,dog,1
aug_000032.jpg,img_000350.jpg,aggressive,dog,1
aug_000033.jpg,img_000350.jpg,aggressive,dog,1
aug_000034.jpg,img_000358.jpg,mild,dog,2
aug_000035.jpg,img_000358.jpg,aggressive,dog,2
aug_000036.jpg,img_000358.jpg,aggressive,dog,2
aug_000037.jpg,img_000364.jpg,mild,dog,2
aug_000038.jpg,img_000364.jpg,aggressive,dog,2
aug_000039.jpg,img_000364.jpg,aggressive,dog,2
aug_000040.jpg,img_000365.jpg,mild,dog,2
aug_000041.jpg,img_000365.jpg,aggressive,dog,2
aug_000042.jpg,img_000365.jpg,aggressive,dog,2
aug_000043.jpg,img_000367.jpg,mild,dog,5
aug_000044.jpg,img_000367.jpg,aggressive,dog,5
aug_000045.jpg,img_000367.jpg,aggressive,dog,5
aug_000046.jpg,img_000371.jpg,mild,dog,2
aug_000047.jpg,img_000371.jpg,aggressive,dog,2
aug_000048.jpg,img_000371.jpg,aggressive,dog,2
aug_000049.jpg,img_000374.jpg,mild,dog,2
aug_000050.jpg,img_000374.jpg,aggressive,dog,2
aug_000051.jpg,img_000374.jpg,aggressive,dog,2
aug_000052.jpg,img_000375.jpg,mild,dog,2
aug_000053.jpg,img_000375.jpg,aggressive,dog,2
aug_000054.jpg,img_000375.jpg,aggressive,dog,2
aug_000055.jpg,img_000376.jpg,mild,dog,2
aug_000056.jpg,img_000376.jpg,aggressive,dog,2
aug_000057.jpg,img_000376.jpg,aggressive,dog,2
aug_000058.jpg,img_000378.jpg,mild,dog,3
aug_000059.jpg,img_000378.jpg,aggressive,dog,3
aug_000060.jpg,img_000378.jpg,aggressive,dog,3
aug_000061.jpg,img_000381.jpg,mild,dog,2
aug_000062.jpg,img_000381.jpg,aggressive,dog,2
aug_000063.jpg,img_000381.jpg,aggressive,dog,2
aug_000064.jpg,img_000382.jpg,mild,dog,1
aug_000065.jpg,img_000382.jpg,aggressive,dog,1
aug_000066.jpg,img_000382.jpg,aggressive,dog,1
aug_000067.jpg,img_000383.jpg,mild,dog,4
aug_000068.jpg,img_000383.jpg,aggressive,dog,4
aug_000069.jpg,img_000383.jpg,aggressive,dog,4
aug_000070.jpg,img_000385.jpg,mild,dog,4
aug_000071.jpg,img_000385.jpg,aggressive,dog,4
aug_000072.jpg,img_000385.jpg,aggressive,dog,4
aug_000073.jpg,img_000386.jpg,mild,dog,3
aug_000074.jpg,img_000386.jpg,aggressive,dog,3
aug_000075.jpg,img_000386.jpg,aggressive,dog,3
aug_000076.jpg,img_000390.jpg,mild,dog,3
aug_000077.jpg,img_000390.jpg,aggressive,dog,3
aug_000078.jpg,img_000390.jpg,aggressive,dog,3
aug_000079.jpg,img_000392.jpg,mild,dog,2
aug_000080.jpg,img_000392.jpg,aggressive,dog,2
aug_000081.jpg,img_000392.jpg,aggressive,dog,2
aug_000082.jpg,img_000394.jpg,mild,dog,3
aug_000083.jpg,img_000394.jpg,aggressive,dog,3
aug_000084.jpg,img_000394.jpg,aggressive,dog,3
aug_000085.jpg,img_000395.jpg,mild,dog,1
aug_000086.jpg,img_000395.jpg,aggressive,dog,1
aug_000087.jpg,img_000395.jpg,aggressive,dog,1
aug_000088.jpg,img_000396.jpg,mild,dog,3
aug_000089.jpg,img_000396.jpg,aggressive,dog,3
aug_000090.jpg,img_000396.jpg,aggressive,dog,3
aug_000091.jpg,img_000405.jpg,mild,dog,3
aug_000092.jpg,img_000405.jpg,aggressive,dog,3
aug_000093.jpg,img_000405.jpg,aggressive,dog,3
aug_000094.jpg,img_000406.jpg,mild,dog,1
aug_000095.jpg,img_000406.jpg,aggressive,dog,1
aug_000096.jpg,img_000406.jpg,aggressive,dog,1
aug_000097.jpg,img_000407.jpg,mild,dog,3
aug_000098.jpg,img_000407.jpg,aggressive,dog,3
aug_000099.jpg,img_000407.jpg,aggressive,dog,3
aug_000100.jpg,img_000409.jpg,mild,dog,3
aug_000101.jpg,img_000409.jpg,aggressive,dog,3
aug_000102.jpg,img_000409.jpg,aggressive,dog,3
aug_000103.jpg,img_000411.jpg,mild,dog,3
aug_000104.jpg,img_000411.jpg,aggressive,dog,2
aug_000105.jpg,img_000411.jpg,aggressive,dog,3
aug_000106.jpg,img_000412.jpg,mild,dog,3
aug_000107.jpg,img_000412.jpg,aggressive,dog,3
aug_000108.jpg,img_000412.jpg,aggressive,dog,3
aug_000109.jpg,img_000413.jpg,mild,dog,3
aug_000110.jpg,img_000413.jpg,aggressive,dog,3
aug_000111.jpg,img_000413.jpg,aggressive,dog,3
aug_000112.jpg,img_000417.jpg,mild,dog,3
aug_000113.jpg,img_000417.jpg,aggressive,dog,3
aug_000114.jpg,img_000417.jpg,aggressive,dog,3
aug_000115.jpg,img_000420.jpg,mild,dog,2
aug_000116.jpg,img_000420.jpg,aggressive,dog,2
aug_000117.jpg,img_000420.jpg,aggressive,dog,2
aug_000118.jpg,img_000422.jpg,mild,dog,2
