img_id,category,bbox,ratio
920,obstacle,"[4, 0, 635, 634]",0.9828857421875
939,obstacle,"[0, 6, 639, 634]",0.9890771484375
1010,obstacle,"[2, 14, 638, 625]",0.9735107421875
1019,obstacle,"[0, 3, 640, 635]",0.9921875
1033,obstacle,"[10, 7, 628, 633]",0.970517578125
1035,obstacle,"[3, 13, 637, 627]",0.97509521484375
1386,obstacle,"[0, 8, 640, 632]",0.9875
1390,obstacle,"[0, 0, 640, 640]",1.0
8425,obstacle,"[0, 0, 638, 637]",0.99298095703125
8434,obstacle,"[1, 1, 632, 636]",0.9821044921875
8441,obstacle,"[4, 1, 636, 639]",0.992197265625
8442,obstacle,"[1, 0, 634, 637]",0.986759033203125
4736,person,"[0, 25, 635, 614]",0.9518798828125
4913,person,"[0, 13, 639, 625]",0.97503662109375
1763,stair,"[2, 1, 637, 616]",0.958740234375
1790,stair,"[4, 1, 636, 614]",0.95337890625
1793,stair,"[0, 0, 617, 633]",0.95351806640625
1815,stair,"[7, 0, 633, 631]",0.97515380859375
1821,stair,"[0, 2, 631, 631]",0.972843017578125
1825,stair,"[1, 0, 639, 640]",0.9984375
1826,stair,"[3, 4, 636, 636]",0.9883154296875
1830,stair,"[2, 2, 637, 637]",0.9922027587890625
1858,stair,"[7, 3, 633, 618]",0.9550634765625
1883,stair,"[0, 0, 621, 630]",0.9551513671875
1950,stair,"[4, 0, 636, 634]",0.98443359375
2041,stair,"[1, 21, 637, 617]",0.95954345703125
2082,stair,"[0, 0, 638, 638]",0.993759765625
2083,stair,"[0, 0, 638, 638]",0.993759765625
2084,stair,"[0, 0, 638, 640]",0.996875
2206,stair,"[3, 0, 637, 638]",0.9922021484375
2212,stair,"[1, 19, 639, 619]",0.96567626953125
2213,stair,"[1, 0, 639, 638]",0.9953173828125
2214,stair,"[1, 0, 639, 638]",0.9953173828125
2215,stair,"[1, 0, 639, 638]",0.9953173828125
2217,stair,"[0, 14, 640, 624]",0.97578125
2243,stair,"[1, 0, 637, 638]",0.9922021484375
2244,stair,"[4, 0, 634, 637]",0.9859814453125
2245,stair,"[4, 0, 626, 637]",0.9735400390625
2313,stair,"[1, 0, 617, 638]",0.9610498046875
2314,stair,"[0, 0, 638, 638]",0.993759765625
2315,stair,"[1, 0, 617, 638]",0.9610498046875
2381,stair,"[1, 21, 639, 617]",0.96255615234375
2383,stair,"[0, 0, 638, 634]",0.987529296875
2439,stair,"[3, 0, 635, 638]",0.9890869140625
2440,stair,"[5, 5, 632, 632]",0.9766998291015625
2441,stair,"[0, 0, 637, 637]",0.99064697265625
2464,stair,"[1, 12, 639, 626]",0.9765966796875
2465,stair,"[0, 0, 640, 640]",1.0
2466,stair,"[0, 0, 640, 634]",0.990625
2512,stair,"[0, 0, 640, 638]",0.996875
2513,stair,"[0, 0, 638, 640]",0.996875
2514,stair,"[0, 0, 638, 640]",0.996875
2560,stair,"[0, 0, 638, 626]",0.975068359375
2589,stair,"[1, 0, 637, 638]",0.9922021484375
2590,stair,"[1, 24, 637, 614]",0.9548779296875
2597,stair,"[1, 0, 637, 638]",0.9922021484375
2598,stair,"[24, 0, 614, 637]",0.9548779296875
2608,stair,"[16, 0, 621, 637]",0.966541748046875
2649,stair,"[0, 17, 637, 615]",0.957210693359375
2650,stair,"[3, 21, 637, 615]",0.957210693359375
2651,stair,"[0, 0, 637, 638]",0.9922021484375
2678,stair,"[0, 0, 635, 640]",0.99296875
2679,stair,"[0, 0, 634, 640]",0.990625
2680,stair,"[0, 0, 638, 640]",0.996875
2713,stair,"[0, 0, 638, 638]",0.993759765625
2725,stair,"[0, 0, 640, 640]",1.0
2736,stair,"[0, 0, 640, 640]",1.0
2803,stair,"[0, 0, 638, 638]",0.993759765625
2805,stair,"[0, 4, 624, 624]",0.9521490478515625
2833,stair,"[0, 0, 640, 640]",1.0
2834,stair,"[0, 0, 640, 640]",1.0
2862,stair,"[0, 0, 640, 640]",1.0
2863,stair,"[0, 0, 640, 640]",1.0
2875,stair,"[0, 0, 640, 640]",1.0
2900,stair,"[0, 0, 638, 638]",0.993759765625
2918,stair,"[0, 0, 640, 640]",1.0
3114,stair,"[10, 0, 624, 640]",0.97578125
3128,stair,"[0, 0, 638, 640]",0.996875
3171,stair,"[0, 0, 640, 640]",1.0
3179,stair,"[0, 0, 640, 640]",1.0
3182,stair,"[1, 0, 612, 640]",0.95703125
3210,stair,"[0, 0, 640, 640]",1.0
3211,stair,"[0, 0, 640, 640]",1.0
3224,stair,"[0, 0, 640, 640]",1.0
3244,stair,"[0, 0, 640, 640]",1.0
3245,stair,"[0, 0, 640, 640]",1.0
3294,stair,"[0, 0, 640, 640]",1.0
3307,stair,"[0, 0, 640, 640]",1.0
3308,stair,"[0, 0, 640, 640]",1.0
